Country,League,Season,Date,Homeoraway,Team,HTTeamGoals,TeamGoals,TeamShots,TeamShotsOnTarget,TeamFouls,TeamCorners,TeamYellow,TeamRed,Opponent,HTOpponentGoals,OpponentGoals,OpponentShots,OpponentShotOnTarget,OpponentFouls,OpponentCorners,OpponentYellow,OpponentRed,FavouriteResult,HTResult,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,OddsOver2.5Goals,OddsUnder2.5Goals,FavouriteOU2.5,ResultBetWin,ResultBetDraw,ResultBetLose,ResultBetOver2.5,ResultBetUnder2.5
ENGLAND,PREM,15/16,20/03/16,Away,Sunderland,1,1,14,4,7,5,1,0,Newcastle,0,1,17,8,14,2,4,0,NotFavourite,Win,Draw,2,3.8,3.5,2.1,2.01,1.79,FavUnder,-1,2.5,-1,-1,0.79
ENGLAND,PREM,15/16,02/04/16,Away,Chelsea,2,4,11,8,8,2,1,0,Aston Villa,0,0,15,4,12,7,4,1,Favourite,Win,Win,4,1.57,4.33,6.5,1.98,1.82,FavUnder,0.57,-1,-1,0.98,-1
ENGLAND,PREM,15/16,02/04/16,Away,Man City,3,4,15,7,8,4,1,0,Bournemouth,0,0,11,2,9,4,0,0,Favourite,Win,Win,4,2.1,3.6,3.75,1.81,1.99,FavOver,1.1,-1,-1,0.81,-1
ENGLAND,PREM,15/16,02/04/16,Away,Tottenham,0,1,18,5,11,9,0,0,Liverpool,0,1,15,7,11,12,2,0,NotFavourite,Draw,Draw,2,3,3.4,2.5,1.93,1.87,FavUnder,-1,2.4,-1,-1,0.87
ENGLAND,PREM,15/16,02/04/16,Away,Swansea,0,2,12,3,16,5,1,0,Stoke,1,2,12,5,6,5,0,0,NotFavourite,Lose,Draw,4,3.6,3.4,2.2,2.29,1.61,FavUnder,-1,2.4,-1,1.29,-1
ENGLAND,PREM,15/16,02/04/16,Away,West Brom,0,0,3,0,13,3,1,0,Sunderland,0,0,22,7,11,9,1,0,NotFavourite,Draw,Draw,0,4,3.3,2.1,2.39,1.57,FavUnder,-1,2.3,-1,-1,0.57
ENGLAND,PREM,15/16,02/04/16,Away,Crystal Palace,1,2,12,5,19,5,2,0,West Ham,2,2,18,6,12,4,2,1,NotFavourite,Lose,Draw,4,4.2,3.6,1.95,1.96,1.84,FavUnder,-1,2.6,-1,0.96,-1
ENGLAND,PREM,15/16,09/04/16,Away,Bournemouth,1,2,12,3,11,8,2,0,Aston Villa,0,1,6,1,13,3,2,0,Favourite,Win,Win,3,2.2,3.2,3.4,2.12,1.71,FavUnder,1.2,-1,-1,1.12,-1
ENGLAND,PREM,15/16,09/04/16,Away,Everton,1,1,12,7,10,6,1,0,Watford,1,1,13,5,13,7,2,0,Favourite,Draw,Draw,2,2.15,3.3,3.4,2.08,1.74,FavUnder,-1,2.3,-1,-1,0.74
ENGLAND,PREM,15/16,09/04/16,Away,Arsenal,2,3,11,6,8,4,0,0,West Ham,2,3,19,7,11,7,2,0,Favourite,Draw,Draw,6,2,3.5,3.6,1.74,2.08,FavOver,-1,2.5,-1,0.74,-1
ENGLAND,PREM,15/16,10/04/16,Away,Leicester,0,2,17,7,9,7,1,0,Sunderland,0,0,15,1,9,1,1,0,Favourite,Draw,Win,2,2.1,3.4,3.4,2.11,1.72,FavUnder,1.1,-1,-1,-1,0.72
ENGLAND,PREM,15/16,13/04/16,Away,Everton,0,0,9,5,9,7,1,1,Crystal Palace,0,0,18,6,7,10,0,0,Favourite,Draw,Draw,0,2.6,3.4,2.9,1.97,1.83,FavUnder,-1,2.4,-1,-1,0.83
ENGLAND,PREM,15/16,16/04/16,Away,Man City,1,3,11,8,15,3,3,0,Chelsea,0,0,11,4,12,11,2,1,Favourite,Win,Win,3,2.7,3.4,2.75,1.84,1.96,FavOver,1.7,-1,-1,0.84,-1
ENGLAND,PREM,15/16,16/04/16,Away,Southampton,0,1,18,4,14,10,1,0,Everton,0,1,7,2,8,3,1,0,NotFavourite,Draw,Draw,2,2.8,3.4,2.7,1.98,1.82,FavUnder,-1,2.4,-1,-1,0.82
ENGLAND,PREM,15/16,16/04/16,Away,Sunderland,1,3,8,3,11,0,2,0,Norwich,0,0,19,6,7,14,2,0,NotFavourite,Win,Win,3,3.25,3.3,2.4,2.13,1.7,FavUnder,2.25,-1,-1,1.13,-1
ENGLAND,PREM,15/16,16/04/16,Away,Watford,1,1,11,4,17,3,3,0,West Brom,0,0,16,4,11,9,0,0,NotFavourite,Win,Win,1,3.4,3.2,2.4,2.46,1.53,FavUnder,2.4,-1,-1,-1,0.53
ENGLAND,PREM,15/16,17/04/16,Away,Crystal Palace,0,1,7,2,13,5,2,0,Arsenal,1,1,21,6,7,10,0,0,NotFavourite,Lose,Draw,2,9.5,5.75,1.33,1.6,2.31,FavOver,-1,4.75,-1,-1,1.31
ENGLAND,PREM,15/16,17/04/16,Away,Liverpool,2,2,19,6,9,4,0,0,Bournemouth,0,1,18,5,9,5,0,0,Favourite,Win,Win,3,2.15,3.5,3.6,1.96,1.84,FavUnder,1.15,-1,-1,0.96,-1
ENGLAND,PREM,15/16,17/04/16,Away,West Ham,0,2,19,4,14,5,3,0,Leicester,1,2,6,2,14,0,1,1,NotFavourite,Lose,Draw,4,4.2,3.6,1.95,1.91,1.89,FavUnder,-1,2.6,-1,0.91,-1
ENGLAND,PREM,15/16,18/04/16,Away,Tottenham,1,4,23,6,12,3,0,0,Stoke,0,0,12,2,12,5,2,0,Favourite,Win,Win,4,1.85,3.75,4.5,1.96,1.83,FavUnder,0.85,-1,-1,0.96,-1
ENGLAND,PREM,15/16,19/04/16,Away,Man City,1,1,9,5,8,3,2,0,Newcastle,1,1,5,3,13,5,3,0,Favourite,Draw,Draw,2,1.57,4.5,6,1.66,2.21,FavOver,-1,3.5,-1,-1,1.21
ENGLAND,PREM,15/16,23/04/16,Away,Southampton,2,4,17,7,9,11,0,0,Aston Villa,1,2,16,7,8,6,2,0,Favourite,Win,Win,6,1.53,4.2,7.5,2.03,1.77,FavUnder,0.53,-1,-1,1.03,-1
ENGLAND,PREM,15/16,23/04/16,Away,Chelsea,2,4,16,4,4,7,0,0,Bournemouth,1,1,13,4,11,10,1,0,Favourite,Win,Win,5,2.4,3.5,3.1,1.77,2.03,FavOver,1.4,-1,-1,0.77,-1
ENGLAND,PREM,15/16,23/04/16,Away,Newcastle,0,2,6,3,17,4,1,0,Liverpool,2,2,13,4,8,5,1,0,NotFavourite,Lose,Draw,4,6,4.5,1.57,1.6,2.3,FavOver,-1,3.5,-1,0.6,-1
ENGLAND,PREM,15/16,24/04/16,Away,Arsenal,0,0,20,7,8,7,4,0,Sunderland,0,0,12,3,10,7,2,0,Favourite,Draw,Draw,0,1.8,4,4.5,1.73,2.09,FavOver,-1,3,-1,-1,1.09
ENGLAND,PREM,15/16,25/04/16,Away,West Brom,0,1,16,3,13,7,1,0,Tottenham,1,1,19,2,8,9,0,0,NotFavourite,Lose,Draw,2,15,7,1.22,1.67,2.17,FavOver,-1,6,-1,-1,1.17
ENGLAND,PREM,15/16,30/04/16,Away,Sunderland,0,1,14,5,13,8,2,0,Stoke,0,1,11,3,13,2,2,0,NotFavourite,Draw,Draw,2,2.8,3.3,2.75,2.07,1.75,FavUnder,-1,2.3,-1,-1,0.75
ENGLAND,PREM,15/16,30/04/16,Away,West Ham,2,3,8,4,7,6,0,0,West Brom,0,0,15,5,14,8,0,0,Favourite,Win,Win,3,2.1,3.4,4,2.13,1.7,FavUnder,1.1,-1,-1,1.13,-1
ENGLAND,PREM,15/16,01/05/16,Away,Leicester,1,1,14,3,10,5,0,1,Man United,1,1,21,6,16,6,3,0,NotFavourite,Draw,Draw,2,3.9,3.4,2.1,2.18,1.68,FavUnder,-1,2.4,-1,-1,0.68
ENGLAND,PREM,15/16,02/05/16,Away,Tottenham,2,2,16,5,20,8,9,0,Chelsea,0,2,13,5,9,7,3,0,Favourite,Win,Draw,4,2.63,3.6,2.75,1.78,2.01,FavOver,-1,2.6,-1,0.78,-1
ENGLAND,PREM,15/16,07/05/16,Away,Newcastle,0,0,9,3,13,5,1,0,Aston Villa,0,0,2,0,8,0,1,0,Favourite,Draw,Draw,0,1.65,4.2,5.75,1.86,1.94,FavOver,-1,3.2,-1,-1,0.94
ENGLAND,PREM,15/16,07/05/16,Away,West Brom,1,1,12,4,8,3,1,0,Bournemouth,0,1,12,4,5,5,2,0,NotFavourite,Win,Draw,2,4.2,3.6,1.95,1.92,1.88,FavUnder,-1,2.6,-1,-1,0.88
ENGLAND,PREM,15/16,07/05/16,Away,Man United,0,1,15,2,10,6,0,0,Norwich,0,0,8,2,11,1,1,0,Favourite,Draw,Win,1,1.91,3.6,4.5,1.99,1.82,FavUnder,0.91,-1,-1,-1,0.82
ENGLAND,PREM,15/16,07/05/16,Away,Swansea,2,4,13,6,8,3,0,0,West Ham,0,1,25,7,11,13,3,0,NotFavourite,Win,Win,5,8,4.75,1.44,1.64,2.24,FavOver,7,-1,-1,0.64,-1
ENGLAND,PREM,15/16,08/05/16,Away,Arsenal,1,2,5,2,10,2,1,0,Man City,1,2,14,3,16,7,2,0,NotFavourite,Draw,Draw,4,2.9,3.6,2.5,1.7,2.14,FavOver,-1,2.6,-1,0.7,-1
ENGLAND,PREM,15/16,08/05/16,Away,Southampton,1,2,10,2,16,2,3,0,Tottenham,1,1,20,6,8,10,0,0,NotFavourite,Draw,Win,3,3.9,3.6,2.05,1.77,2.04,FavOver,2.9,-1,-1,0.77,-1
