in,AwayTeam,HomeTeam,AwayOdds,HomeOdds,AwayScore,HomeScore
CbhuOZXb,Los Angeles Clippers,Minnesota Timberwolves,1.14,6.35,124,105
EDZyPFIh,Dallas Mavericks,Sacramento Kings,1.27,3.95,107,121
YJw4A2SP,Charlotte Hornets,Portland Trail Blazers,2.57,1.55,109,101
WlpXPe3n,Orlando Magic,Houston Rockets,1.97,1.88,110,114
WpWEKFqc,Toronto Raptors,Oklahoma City Thunder,1.46,2.84,112,106
hboTQylt,Miami Heat,Brooklyn Nets,2.74,1.49,109,107
2Z5J6Y2O,Atlanta Hawks,Indiana Pacers,1.77,2.11,129,117
tQ4N5hIU,New York Knicks,New Orleans Pelicans,2.03,1.83,122,112
KAGE7EmI,Phoenix Suns,San Antonio Spurs,1.13,6.51,85,111
67CA8fYB,Milwaukee Bucks,Memphis Grizzlies,1.27,3.98,115,128
CpD69zJ5,Boston Celtics,Golden State Warriors,1.68,2.26,119,114
YgE2AG3a,Chicago Bulls,Cleveland Cavaliers,1.68,2.27,106,96
hrc5Bdlg,Washington Wizards,Detroit Pistons,1.54,2.59,121,100
Eib1CxZn,Los Angeles Lakers,Utah Jazz,1.85,2.02,127,115
KUbcDIJt,Dallas Mavericks,New York Knicks,1.38,3.17,109,117
r97VHbBP,San Antonio Spurs,Portland Trail Blazers,1.84,2.02,106,107
bavmtEhi,Chicago Bulls,Memphis Grizzlies,2.43,1.6,115,126
2DUrfeJI,Houston Rockets,Denver Nuggets,4.24,1.25,99,128
t4TngFYO,Minnesota Timberwolves,Miami Heat,3.19,1.38,119,111
df04HUFj,Brooklyn Nets,Charlotte Hornets,1.12,6.74,130,115
trz8yj7M,Toronto Raptors,Orlando Magic,1.65,2.32,113,102
2wdVNWxN,Detroit Pistons,Oklahoma City Thunder,1.7,2.22,110,104
tUfZMjhT,Philadelphia 76ers,Los Angeles Clippers,1.55,2.57,106,103
b9s1IA0p,Washington Wizards,New Orleans Pelicans,2.29,1.67,117,115
p21QOCNG,Utah Jazz,Indiana Pacers,1.19,5.13,119,111
Cl3IQYh4,Los Angeles Lakers,Boston Celtics,3.51,1.33,113,121
6B2MPh8A,Phoenix Suns,Sacramento Kings,1.11,7.17,122,114
boaEREwb,Cleveland Cavaliers,Golden State Warriors,2.86,1.45,101,119
GM99SfOi,Atlanta Hawks,Milwaukee Bucks,2.54,1.56,109,120
APMN4iWp,Denver Nuggets,Miami Heat,1.49,2.74,123,106
xWA5Tz9o,Sacramento Kings,Washington Wizards,2.08,1.79,111,123
YaafMJ1I,Memphis Grizzlies,Dallas Mavericks,2.28,1.67,113,114
WAT3BcV9,Houston Rockets,Indiana Pacers,2.41,1.61,124,132
jyAkNanC,Oklahoma City Thunder,Golden State Warriors,6.98,1.12,109,147
4K7wQ12g,Chicago Bulls,Orlando Magic,1.2,4.81,106,115
nqDYQsmm,Detroit Pistons,Los Angeles Clippers,2.1,1.78,98,100
xY5oOuX5,New Orleans Pelicans,New York Knicks,1.76,2.13,106,116
SvW3xWiG,Toronto Raptors,San Antonio Spurs,2.85,1.45,117,112
jDR2W3PP,Charlotte Hornets,Cleveland Cavaliers,1.66,2.31,90,103
8hEURNXt,Philadelphia 76ers,Brooklyn Nets,1.25,4.16,123,117
rB6sPLHa,Minnesota Timberwolves,Milwaukee Bucks,5.05,1.19,105,130
xYqG80XI,Phoenix Suns,Miami Heat,1.6,2.43,106,86
vwObXqAJ,Portland Trail Blazers,Boston Celtics,1.87,1.98,115,116
bsoC9tIC,Utah Jazz,Oklahoma City Thunder,1.05,11.31,106,96
U7t8AM26,Charlotte Hornets,Los Angeles Lakers,2.01,1.85,93,101
jHs4B2m0,Indiana Pacers,Los Angeles Clippers,2.32,1.65,115,126
pGtawCxA,Toronto Raptors,Atlanta Hawks,1.84,2.02,103,108
h6XOK6QD,Minnesota Timberwolves,Brooklyn Nets,3.47,1.34,97,127
fkleDOIm,Golden State Warriors,Denver Nuggets,2.75,1.49,116,107
8hhaCrYg,Phoenix Suns,Houston Rockets,1.11,7.13,126,120
zTsNFrnF,Memphis Grizzlies,Chicago Bulls,1.77,2.12,101,90
bJ2PIpeQ,New Orleans Pelicans,Sacramento Kings,1.77,2.12,117,110
0SliE43s,Utah Jazz,Washington Wizards,1.16,5.69,121,125
v3qsdNmD,Orlando Magic,San Antonio Spurs,3.24,1.37,97,120
WdWSJQuK,Dallas Mavericks,Philadelphia 76ers,2.44,1.61,95,113
Qauwc3Y6,New York Knicks,Los Angeles Lakers,1.87,1.99,111,96
4piUbP3f,Los Angeles Clippers,Detroit Pistons,1.11,7.45,131,124
ryjYcqJ0,Portland Trail Blazers,Miami Heat,1.91,1.95,98,107
zBnQa5ll,Minnesota Timberwolves,Chicago Bulls,2.45,1.59,121,117
6PsevhN3,New York Knicks,Toronto Raptors,1.63,2.36,102,96
jwBg5RQQ,Dallas Mavericks,San Antonio Spurs,1.4,3.08,117,119
dKmM0oZs,Memphis Grizzlies,Indiana Pacers,1.61,2.42,125,132
pt8o7mdE,Cleveland Cavaliers,New Orleans Pelicans,4.38,1.24,109,116
v37k67BK,Orlando Magic,Milwaukee Bucks,4.21,1.25,87,124
6k9s8Tt8,Denver Nuggets,Boston Celtics,1.62,2.4,87,105
S4w1ayw8,Charlotte Hornets,Atlanta Hawks,1.71,2.2,101,105
tlyk2wgk,Golden State Warriors,Houston Rockets,1.34,3.41,125,109
fiug1c8e,Phoenix Suns,Washington Wizards,1.09,8.25,134,106
lEvc0HN1,Portland Trail Blazers,Detroit Pistons,1.14,6.28,118,103
AemyaYl2,Oklahoma City Thunder,Philadelphia 76ers,5.17,1.18,93,117
bPop3Jwq,Utah Jazz,Sacramento Kings,1.13,6.4,128,112
dGaI7aVR,Brooklyn Nets,Los Angeles Lakers,1.13,6.41,101,126
xjwiuY7c,Cleveland Cavaliers,Toronto Raptors,1.67,2.27,115,135
Aa1A9L0F,Golden State Warriors,Washington Wizards,1.54,2.6,107,110
lj0E8uGL,Los Angeles Clippers,Houston Rockets,1.15,6.0,126,109
SzC5A1o9,Denver Nuggets,San Antonio Spurs,1.37,3.24,121,119
EX71BsW2,Milwaukee Bucks,Charlotte Hornets,2.25,1.68,119,127
QBR6k09q,Atlanta Hawks,Chicago Bulls,1.7,2.22,120,108
0UJJnbg2,New Orleans Pelicans,Philadelphia 76ers,2.9,1.45,101,94
42QAlKOk,Boston Celtics,Minnesota Timberwolves,1.25,4.17,145,136
MwLFmvvd,New York Knicks,Memphis Grizzlies,2.05,1.82,133,129
YF3w7SvH,Orlando Magic,Indiana Pacers,3.06,1.41,106,111
h6eV8lA4,Los Angeles Clippers,Phoenix Suns,1.44,2.93,113,103
zVpz88PA,Sacramento Kings,Detroit Pistons,1.31,3.6,101,113
EFdR9Ufb,Utah Jazz,Portland Trail Blazers,1.45,2.85,122,103
pthNAAuh,Dallas Mavericks,Milwaukee Bucks,1.71,2.21,116,101
6kgJBjQo,Oklahoma City Thunder,Cleveland Cavaliers,2.49,1.58,102,129
4pFzm7mo,Miami Heat,Los Angeles Lakers,1.22,4.57,110,104
W4hC8AXI,Toronto Raptors,Chicago Bulls,2.49,1.58,113,122
SON8imuU,Phoenix Suns,Utah Jazz,2.18,1.73,117,113
Y1O4hTPN,Denver Nuggets,San Antonio Spurs,1.47,2.81,106,96
Ea83fkeB,Atlanta Hawks,Memphis Grizzlies,2.01,1.86,113,131
WEq5jdgp,Houston Rockets,Dallas Mavericks,5.18,1.18,102,93
fBP0g9AH,Oklahoma City Thunder,Charlotte Hornets,2.81,1.47,102,113
tnAedBQb,Boston Celtics,New York Knicks,1.64,2.34,101,99
z99aeVu5,Brooklyn Nets,New Orleans Pelicans,1.26,4.13,139,111
pKGnbXen,Indiana Pacers,Minnesota Timberwolves,2.03,1.84,141,137
Sr6iciBh,Orlando Magic,Washington Wizards,2.63,1.53,116,131
Ms1wjz4P,Golden State Warriors,Milwaukee Bucks,2.24,1.69,122,121
b3h5ofCt,Los Angeles Clippers,Portland Trail Blazers,1.4,3.11,133,116
MocXnmD4,Denver Nuggets,Detroit Pistons,1.13,6.57,134,119
tnOjSWBI,Miami Heat,Memphis Grizzlies,1.41,3.06,112,124
8KAqUhs6,Atlanta Hawks,New Orleans Pelicans,1.62,2.4,123,107
nB9mTCdC,Boston Celtics,Philadelphia 76ers,1.96,1.9,96,106
G4xZvAeO,Toronto Raptors,Los Angeles Lakers,2.01,1.85,101,110
QeLvVYRa,Indiana Pacers,Chicago Bulls,2.1,1.78,97,113
boy0xHZP,Houston Rockets,Phoenix Suns,8.37,1.09,130,133
6ilEEDsJ,Brooklyn Nets,New York Knicks,1.4,3.1,114,112
KfxdwcKJ,Dallas Mavericks,Utah Jazz,2.89,1.45,111,103
vuJSXzrs,Minnesota Timberwolves,Sacramento Kings,2.39,1.62,116,106
IVHWWfcm,Oklahoma City Thunder,Detroit Pistons,2.26,1.68,108,132
ChHzWECg,San Antonio Spurs,Cleveland Cavaliers,1.29,3.82,101,125
M5qQtWQB,Toronto Raptors,Washington Wizards,1.46,2.84,103,101
fHpAFgSC,Denver Nuggets,Orlando Magic,1.04,13.09,119,109
Che5GZC6,Houston Rockets,New Orleans Pelicans,2.22,1.71,115,122
