Country,League,Season,Date,Homeoraway,Team,TeamGoals,Opponent,OpponentGoals,Favourite,Result,TotalGoals,TeamOdds,DrawOdds,OpponentOdds,ResultBetWin,ResultBetDraw,ResultBetLose
SPAIN,LALIGA,20/21,2021/05/13,Home,Valladolid,0,Villarreal,2,NotFavourite,Lose,2,3.8,3.5,1.95,-1,-1,0.95
SPAIN,LALIGA,20/21,2021/05/13,Home,Granada,1,Real Madrid,4,NotFavourite,Lose,5,8,4.5,1.4,-1,-1,0.4
SPAIN,LALIGA,20/21,2021/05/13,Home,Eibar,1,Betis,1,NotFavourite,Draw,2,2.8,3.25,2.55,-1,2.25,-1
SPAIN,LALIGA,20/21,2021/05/13,Away,Villarreal,2,Valladolid,0,Favourite,Win,2,1.95,3.5,3.8,0.95,-1,-1
SPAIN,LALIGA,20/21,2021/05/13,Away,Betis,1,Eibar,1,Favourite,Draw,2,2.55,3.25,2.8,-1,2.25,-1
SPAIN,LALIGA,20/21,2021/05/13,Away,Real Madrid,4,Granada,1,Favourite,Win,5,1.4,4.5,8,0.4,-1,-1
ENGLAND,PREM,20/21,2021/05/12,Home,Chelsea,0,Arsenal,1,Favourite,Lose,1,1.65,4,5,-1,-1,4
ENGLAND,PREM,20/21,2021/05/12,Away,Arsenal,1,Chelsea,0,NotFavourite,Win,1,5,4,1.65,4,-1,-1
SPAIN,LALIGA,20/21,2021/05/12,Away,Ath Bilbao,0,Huesca,1,NotFavourite,Lose,1,2.9,3.2,2.5,-1,-1,1.5
SPAIN,LALIGA,20/21,2021/05/12,Away,Getafe,0,Celta,1,NotFavourite,Lose,1,3,3.25,2.35,-1,-1,1.35
SPAIN,LALIGA,20/21,2021/05/12,Away,Sociedad,1,Ath Madrid,2,NotFavourite,Lose,3,5.5,4,1.6,-1,-1,0.6
SPAIN,LALIGA,20/21,2021/05/12,Away,Valencia,0,Sevilla,1,NotFavourite,Lose,1,7,4.5,1.44,-1,-1,0.44
SPAIN,LALIGA,20/21,2021/05/12,Home,Sevilla,1,Valencia,0,Favourite,Win,1,1.44,4.5,7,0.44,-1,-1
SPAIN,LALIGA,20/21,2021/05/12,Home,Celta,1,Getafe,0,Favourite,Win,1,2.35,3.25,3,1.35,-1,-1
SPAIN,LALIGA,20/21,2021/05/12,Home,Huesca,1,Ath Bilbao,0,Favourite,Win,1,2.5,3.2,2.9,1.5,-1,-1
