Country,League,Season,Date,Team,Homeoraway,TeamOdds,TeamScore,Opponent,OpponentOdds,OpponentScore,Result,Favourite,TotalScorePred,TotalScore,ResultBetWin,ResultBetLose,TotalfromPred,TeamWinPred,TeamScorePred,ScoredfromPred,OpponentWinPred,OpponentScorePred,ReceivedfromPred
USA,NBA,20/21,2020/12/28,Brooklyn Nets,Home,2.13,111,Memphis Grizzlies,1.75,116,Lose,NotFavourite,230,227,-1,0.75,-3,79%,120,-9,21%,110,6
USA,NBA,20/21,2020/12/28,Los Angeles Lakers,Home,1.42,107,Portland Trail Blazers,3,115,Lose,Favourite,234,222,-1,2,-12,73%,121,-14,27%,113,2
USA,NBA,20/21,2020/12/28,Oklahoma City Thunder,Home,4.18,109,Utah Jazz,1.24,110,Lose,NotFavourite,221,219,-1,0.24,-2,49%,110,-1,51%,111,-1
USA,NBA,20/21,2020/12/29,Boston Celtics,Away,2.01,116,Indiana Pacers,1.84,111,Win,NotFavourite,223,227,1.01,-1,4,39%,109,7,61%,114,-3
USA,NBA,20/21,2020/12/29,Chicago Bulls,Away,3.08,115,Washington Wizards,1.4,107,Win,NotFavourite,229,222,2.08,-1,-7,32%,111,4,68%,118,-11
USA,NBA,20/21,2020/12/29,Denver Nuggets,Away,1.95,115,Sacramento Kings,1.9,125,Lose,NotFavourite,229,240,-1,0.9,11,42%,113,2,58%,116,9
USA,NBA,20/21,2020/12/29,Golden State Warriors,Away,1.57,116,Detroit Pistons,2.5,106,Win,Favourite,223,222,0.57,-1,-1,29%,108,8,71%,115,-9
USA,NBA,20/21,2020/12/29,Milwaukee Bucks,Away,1.42,144,Miami Heat,2.99,97,Win,Favourite,226,241,0.42,-1,15,54%,114,30,46%,112,-15
USA,NBA,20/21,2020/12/29,Minnesota Timberwolves,Away,5.36,101,Los Angeles Clippers,1.17,124,Lose,NotFavourite,225,225,-1,0.17,0,29%,109,-8,71%,116,8
USA,NBA,20/21,2020/12/29,New Orleans Pelicans,Away,2.1,86,Phoenix Suns,1.78,111,Lose,NotFavourite,220,197,-1,0.78,-23,46%,109,-23,54%,111,0
USA,NBA,20/21,2020/12/29,New York Knicks,Away,2.35,95,Cleveland Cavaliers,1.64,86,Win,NotFavourite,229,181,1.35,-1,-48,32%,111,-16,68%,118,-32
USA,NBA,20/21,2020/12/29,Orlando Magic,Away,1.39,118,Oklahoma City Thunder,3.14,107,Win,Favourite,223,225,0.39,-1,2,49%,111,7,51%,112,-5
USA,NBA,20/21,2020/12/29,Toronto Raptors,Away,2.01,93,Philadelphia 76ers,1.84,100,Lose,NotFavourite,213,193,-1,0.84,-20,38%,104,-11,62%,109,-9
USA,NBA,20/21,2020/12/29,Indiana Pacers,Home,1.84,111,Boston Celtics,2.01,116,Lose,Favourite,223,227,-1,1.01,4,61%,114,-3,39%,109,7
USA,NBA,20/21,2020/12/29,Washington Wizards,Home,1.4,107,Chicago Bulls,3.08,115,Lose,Favourite,229,222,-1,2.08,-7,68%,118,-11,32%,111,4
USA,NBA,20/21,2020/12/29,Sacramento Kings,Home,1.9,125,Denver Nuggets,1.95,115,Win,Favourite,229,240,0.9,-1,11,58%,116,9,42%,113,2
USA,NBA,20/21,2020/12/29,Detroit Pistons,Home,2.5,106,Golden State Warriors,1.57,116,Lose,NotFavourite,223,222,-1,0.57,-1,71%,115,-9,29%,108,8
USA,NBA,20/21,2020/12/29,Miami Heat,Home,2.99,97,Milwaukee Bucks,1.42,144,Lose,NotFavourite,226,241,-1,0.42,15,46%,112,-15,54%,114,30
USA,NBA,20/21,2020/12/29,Los Angeles Clippers,Home,1.17,124,Minnesota Timberwolves,5.36,101,Win,Favourite,225,225,0.17,-1,0,71%,116,8,29%,109,-8
USA,NBA,20/21,2020/12/29,Phoenix Suns,Home,1.78,111,New Orleans Pelicans,2.1,86,Win,Favourite,220,197,0.78,-1,-23,54%,111,0,46%,109,-23
USA,NBA,20/21,2020/12/29,Cleveland Cavaliers,Home,1.64,86,New York Knicks,2.35,95,Lose,Favourite,229,181,-1,1.35,-48,68%,118,-32,32%,111,-16
USA,NBA,20/21,2020/12/29,Oklahoma City Thunder,Home,3.14,107,Orlando Magic,1.39,118,Lose,NotFavourite,223,225,-1,0.39,2,51%,112,-5,49%,111,7
USA,NBA,20/21,2020/12/29,Philadelphia 76ers,Home,1.84,100,Toronto Raptors,2.01,93,Win,Favourite,213,193,0.84,-1,-20,62%,109,-9,38%,104,-11
USA,NBA,20/21,2020/12/30,Atlanta Hawks,Away,2.95,141,Brooklyn Nets,1.43,145,Lose,NotFavourite,230,286,-1,0.43,56,34%,112,29,66%,118,27
USA,NBA,20/21,2020/12/30,Charlotte Hornets,Away,3.87,118,Dallas Mavericks,1.28,99,Win,NotFavourite,228,217,2.87,-1,-11,41%,112,6,59%,116,-17
USA,NBA,20/21,2020/12/30,Los Angeles Lakers,Away,1.33,121,San Antonio Spurs,3.49,107,Win,Favourite,233,228,0.33,-1,-5,50%,116,5,50%,117,-10
USA,NBA,20/21,2020/12/30,Memphis Grizzlies,Away,3.44,107,Boston Celtics,1.33,126,Lose,NotFavourite,228,233,-1,0.33,5,34%,111,-4,66%,117,9
USA,NBA,20/21,2020/12/30,Milwaukee Bucks,Away,1.38,108,Miami Heat,3.15,119,Lose,Favourite,226,227,-1,2.15,1,54%,114,-6,46%,112,7
USA,NBA,20/21,2020/12/30,Portland Trail Blazers,Away,2.96,105,Los Angeles Clippers,1.43,128,Lose,NotFavourite,231,233,-1,0.43,2,20%,110,-5,80%,121,7
USA,NBA,20/21,2020/12/30,Brooklyn Nets,Home,1.43,145,Atlanta Hawks,2.95,141,Win,Favourite,230,286,0.43,-1,56,66%,118,27,34%,112,29
USA,NBA,20/21,2020/12/30,Dallas Mavericks,Home,1.28,99,Charlotte Hornets,3.87,118,Lose,Favourite,228,217,-1,2.87,-11,59%,116,-17,41%,112,6
USA,NBA,20/21,2020/12/30,San Antonio Spurs,Home,3.49,107,Los Angeles Lakers,1.33,121,Lose,NotFavourite,233,228,-1,0.33,-5,50%,117,-10,50%,116,5
